3000 3000
1069 2506 101.70 
1425 2982 123.00 
2988 809  186.00 
1820 1627 10.50  
2960 1064 0.00   
220  1512 201.90 
2774 739  78.30  
571  758  170.70 
2741 1586 196.50 
1975 819  176.70 
1995 1887 134.10 
1334 664  128.40 
1744 651  70.80  
2716 2822 64.20  
2104 2781 83.40  
104  353  42.30  
2129 126  69.30  
2743 1049 102.30 
1312 789  83.40  
1319 2763 28.80  
1909 2109 294.90 
2708 794  299.40 
136  2889 194.40 
1724 2605 246.30 
1938 1708 286.20 
568  1811 91.80  
1061 940  234.90 
2293 682  249.30 
1634 2345 291.30 
2912 663  25.80  
2008 2923 58.20  
