3000 3000
1652 2042 247.20 
372  776  176.40 
262  83   184.80 
1831 717  183.00 
2862 632  233.40 
2421 105  220.80 
2617 210  258.60 
768  1048 129.90 
1821 2805 234.30 
325  2035 118.80 
896  1038 236.70 
1072 1409 169.20 
660  2023 299.70 
1277 1205 214.50 
2239 1419 209.70 
2369 839  46.50  
1105 455  109.20 
319  1574 229.20 
104  395  170.40 
2885 719  286.20 
1633 1967 102.90 
2422 38   30.90  
1339 1050 37.50  
338  2678 204.60 
53   1916 30.00  
752  1284 87.00  
1908 2741 28.80  
624  411  200.70 
740  867  124.50 
660  1103 40.20  
2966 88   135.60 
