10000 7000
6150 5484 156.60 
5679 5782 189.60 
6465 4466 99.00  
8472 3272 143.70 
6904 47   190.50 
3336 4145 147.90 
9925 678  83.10  
5090 1665 92.10  
290  2839 266.10 
6712 3487 37.20  
2250 636  182.40 
7772 6666 116.70 
3756 6482 61.80  
438  1953 248.70 
1918 2209 68.40  
6553 4896 217.20 
3398 3172 120.30 
5675 613  19.80  
7334 5902 271.20 
9222 965  222.60 
3346 4214 113.10 
7306 337  118.50 
8047 3093 262.80 
1606 1530 54.30  
435  1799 116.70 
5663 1703 190.80 
4387 1100 242.10 
141  6127 231.30 
4559 2460 201.60 
4815 681  296.40 
2557 3379 60.30  
286  2036 266.70 
3681 5083 294.30 
5558 4688 258.90 
739  1474 198.30 
2480 5137 109.20 
4116 4875 138.90 
8275 1367 282.30 
6398 5925 120.30 
6070 4739 129.90 
3058 1295 243.30 
9611 581  59.70  
3500 2261 84.30  
4834 3170 96.00  
7697 908  237.90 
358  3739 84.30  
2074 5206 152.40 
9890 1480 262.20 
5831 1877 239.70 
7232 5298 266.70 
6018 5707 160.80 
9181 4669 34.80  
380  2521 218.40 
7661 2354 75.00  
5333 402  47.10  
1127 1111 268.80 
3408 6185 30.30  
2916 74   279.90 
6143 256  48.30  
4942 4840 243.30 
3183 4857 260.70 
