10000 7000
4863 6378 58.80  
4292 1618 136.20 
4841 6592 279.90 
9613 1770 85.20  
9257 3217 58.20  
2785 2393 214.50 
1636 2712 105.30 
3937 2598 223.80 
7630 408  225.90 
9446 6031 3.30   
1829 1245 222.00 
4025 4889 107.10 
4832 3729 90.00  
2765 4693 20.70  
7401 5949 191.40 
3596 1085 114.60 
1663 3721 27.90  
4014 2657 207.00 
8761 1639 135.00 
866  2436 249.60 
9877 1264 23.10  
8969 4641 95.10  
2326 4824 13.50  
3978 5588 221.40 
48   988  11.40  
8038 5935 36.90  
2420 598  58.50  
4513 611  60.90  
2556 5723 252.30 
5358 588  188.40 
5190 5816 73.20  
9619 6784 265.20 
2936 2461 212.10 
9982 6439 193.80 
3072 3838 295.50 
1462 4875 276.00 
1585 2294 260.70 
4132 3158 143.70 
336  3065 166.20 
529  2422 42.30  
510  4612 92.70  
5754 5582 27.60  
2990 1518 271.50 
697  4851 208.50 
695  1922 159.60 
4032 383  227.40 
4304 1320 120.90 
3173 5803 273.60 
4653 2490 293.10 
207  19   225.00 
700  6880 213.90 
6009 1633 88.50  
1454 4622 243.60 
9359 6670 198.60 
6406 3716 280.50 
9938 3747 200.70 
7048 3051 102.00 
3803 6575 42.90  
4715 6227 189.60 
5044 6785 0.60   
3795 1837 69.90  
