7000 3000
6665 1168 117.30 
2252 2974 271.20 
4681 1139 285.00 
5735 1181 290.70 
6861 1844 102.30 
999  139  81.60  
2894 1836 173.70 
6592 1608 73.50  
4460 1495 232.80 
2248 2798 7.50   
5346 2814 57.60  
89   2417 49.80  
4345 1098 196.80 
1296 1184 251.10 
2265 2044 9.60   
6958 43   156.60 
582  1288 107.10 
161  231  94.80  
5759 2691 243.30 
5887 2290 288.00 
3912 635  231.90 
3104 2724 56.70  
6622 68   191.40 
279  1715 246.30 
468  980  259.50 
5852 289  77.70  
6726 871  269.40 
6083 383  38.40  
5400 493  245.40 
3563 1379 137.70 
2875 2642 133.80 
5648 1746 156.30 
6189 2719 176.40 
4828 349  196.50 
2001 2168 190.20 
2866 1019 82.20  
477  744  148.80 
375  179  69.30  
6504 930  22.50  
6674 1844 136.20 
486  2718 134.10 
2932 717  57.60  
4453 905  78.90  
2393 2084 183.30 
5048 2085 233.70 
5034 302  44.70  
2309 2779 267.90 
6157 2505 126.90 
2740 2360 105.60 
4816 2034 164.10 
1622 1519 184.80 
4069 1802 99.60  
5614 2254 176.40 
5877 998  201.60 
6840 2046 32.40  
1971 1431 228.30 
4121 1739 267.30 
3366 2248 118.80 
5789 2987 226.50 
4493 1802 42.00  
392  423  3.00   
