30000 30000
10148 11800 31.20  
10486 3000  81.90  
27128 27124 162.00 
22405 3567  172.20 
17368 16227 217.80 
14364 22906 92.40  
23258 26401 264.90 
2095  15568 27.60  
28548 9516  272.70 
12584 22968 243.90 
12351 9467  183.60 
29807 19953 183.30 
16432 17080 25.80  
14973 15836 1.50   
20547 9555  69.30  
19626 270   40.80  
21934 23527 160.80 
24169 25622 136.50 
26261 521   96.90  
1523  13104 192.60 
11336 25455 32.70  
9301  1613  123.90 
3912  18045 253.20 
8351  9369  203.70 
16356 6267  175.80 
16939 25892 256.50 
10428 24178 114.60 
23964 18346 106.50 
5772  20959 262.50 
27095 22481 293.40 
17737 10168 235.20 
24198 19468 119.10 
20611 29732 237.90 
16807 8082  48.30  
28839 789   128.10 
20425 24079 95.70  
12280 4506  254.40 
27662 4822  57.90  
21369 10593 150.90 
15596 14039 100.50 
22927 8127  150.90 
25711 2325  96.60  
6460  29287 15.90  
11605 16094 145.80 
19766 14932 187.80 
4194  11708 211.50 
20865 23987 168.60 
8065  28001 114.90 
13610 25721 292.50 
10114 11317 3.90   
11801 4243  147.60 
17304 6305  244.80 
24979 19117 136.20 
2384  721   269.70 
24223 20487 54.60  
16849 1032  266.70 
9906  28248 68.40  
7469  6312  68.40  
9852  19921 90.00  
29180 6386  184.80 
2545  18187 257.40 
14037 11842 48.90  
4205  6820  83.70  
23660 9204  105.30 
5559  9778  251.10 
15094 2978  66.00  
29983 12884 140.10 
21563 26704 233.40 
4791  12907 15.30  
20092 12086 130.80 
23060 20983 186.60 
23919 5019  244.80 
7434  9224  190.50 
10065 2883  57.00  
13416 14793 95.70  
13606 6238  89.10  
14826 12573 159.60 
14294 4135  70.50  
26424 8926  147.90 
28475 5369  279.30 
13264 4780  273.90 
9886  5050  279.30 
1054  12483 46.20  
22690 22547 116.40 
6232  12315 159.90 
29552 25920 231.00 
2201  10745 102.60 
17733 25038 143.10 
29968 21462 226.20 
7813  26288 142.20 
27744 9551  181.50 
8657  25789 196.50 
941   26842 41.10  
26095 25883 10.80  
6836  8467  210.60 
8721  14370 186.30 
16843 16570 109.50 
7538  4302  226.50 
2367  10621 170.40 
12473 18433 256.50 
4299  22529 227.40 
904   1185  163.80 
2559  2125  116.10 
23049 4572  186.60 
12437 17759 26.40  
14139 26479 137.10 
11760 19673 113.40 
26477 27210 203.70 
6232  5928  89.70  
20152 18400 24.90  
360   22698 183.30 
20118 29954 44.40  
5664  2512  81.60  
24403 1912  58.50  
15377 14348 285.90 
8465  28486 234.90 
22274 10245 242.40 
22652 13074 5.10   
3683  19305 283.50 
25334 15809 208.80 
5418  16168 118.20 
14381 6285  104.10 
24529 18300 63.00  
13154 19054 36.60  
12701 4431  140.70 
7     19247 92.10  
20142 17873 165.30 
29950 16876 187.20 
13320 20559 84.30  
2617  22244 132.30 
10313 4013  182.40 
17059 18394 73.20  
23758 19274 162.90 
2969  8779  284.40 
20443 27832 113.40 
22264 27838 293.10 
22571 24331 60.30  
9475  24281 22.80  
9451  13952 295.80 
5084  16568 69.00  
16525 26880 178.20 
14133 20291 296.10 
24377 14048 183.90 
29272 17016 222.90 
23221 13810 172.20 
27951 6074  228.90 
28280 4996  133.80 
16481 14470 23.40  
27910 23921 8.70   
6248  29004 284.40 
