30000 30000
8388  29847 0.30   
18178 29411 45.30  
2189  23450 117.00 
17976 29001 74.40  
19167 29192 157.50 
19135 1574  118.80 
7461  13440 293.70 
15300 12873 162.00 
739   23266 69.90  
10883 963   72.60  
21515 15702 132.00 
16516 10232 255.00 
7020  12420 89.70  
13410 396   89.70  
23658 19562 252.90 
19536 15049 124.80 
12932 28861 256.80 
21912 14160 24.00  
1804  14898 103.50 
9037  25781 197.70 
631   23647 108.30 
22071 16515 177.60 
19274 23534 108.90 
3573  6943  227.40 
23225 6953  201.60 
18420 26488 21.60  
8836  15771 279.60 
19044 14034 27.30  
18477 15837 102.30 
4822  1225  141.90 
4834  8207  35.70  
20547 278   189.90 
10139 25903 49.80  
18502 29475 138.30 
3613  29051 123.90 
14637 17470 75.60  
10709 2658  6.60   
11993 28053 16.80  
27436 16529 73.20  
27777 27703 140.70 
250   2536  202.50 
2722  23082 91.20  
15355 9572  61.80  
21522 4425  9.90   
10983 14389 130.50 
13748 29025 271.50 
13000 16085 274.20 
4374  28077 289.80 
9782  25513 254.10 
1027  29641 164.70 
23496 6243  130.80 
523   8964  260.70 
7828  24318 237.60 
17386 22191 64.80  
26419 9525  181.50 
10855 23272 294.30 
19112 12623 19.80  
6378  23349 148.20 
21696 3130  107.40 
23543 4156  299.70 
29444 4003  177.90 
14232 4526  166.80 
22101 18705 261.90 
15893 6090  124.80 
20462 8861  282.00 
9419  26067 169.20 
27400 21530 161.40 
7818  27907 265.80 
16313 19602 4.80   
26671 19497 156.90 
13022 18940 157.80 
5615  9524  120.90 
13523 1624  32.10  
15749 23869 164.40 
10165 20682 122.40 
14105 100   247.80 
24021 3851  106.50 
16560 11669 78.30  
2446  4333  64.50  
27814 7355  213.30 
27338 26729 0.60   
7216  2343  157.50 
27971 22218 150.30 
7430  7966  216.30 
22978 18130 120.60 
23739 8586  255.90 
20565 2607  210.90 
15273 25518 216.90 
1534  4315  16.50  
20101 2129  228.60 
28164 5818  147.00 
25167 19385 249.60 
8044  23707 120.30 
28897 1136  109.80 
13618 465   254.10 
25372 555   129.90 
7225  27472 117.30 
29281 12744 78.00  
3004  20629 172.20 
17412 17082 16.20  
9174  15245 66.90  
27664 16763 287.70 
24848 24807 199.50 
14250 23703 45.60  
11616 13673 290.70 
3464  9044  156.90 
10249 22621 103.80 
19640 21901 132.30 
900   24904 126.60 
22826 12315 150.90 
16881 27840 224.10 
29456 25503 153.00 
1416  20351 200.40 
3433  4600  216.60 
6586  22567 223.80 
22907 2382  237.00 
9782  12630 123.00 
24129 8621  93.00  
3922  15872 169.50 
4344  8698  69.60  
28199 1930  21.30  
947   1385  172.20 
26809 9152  82.80  
23829 12585 68.10  
14551 25522 237.90 
25298 18428 52.50  
21440 28209 241.20 
10202 28689 127.50 
14512 2611  194.40 
26429 13306 103.50 
20661 11505 187.80 
19085 18803 108.90 
6659  15611 154.20 
27287 9439  135.00 
22514 341   291.30 
10307 1990  225.00 
6834  23429 93.30  
9639  3630  299.70 
27416 24493 288.30 
1064  27274 80.10  
19762 24286 231.30 
10388 13370 171.90 
8751  26380 160.50 
22618 23666 97.50  
19068 16179 5.10   
17392 26486 2.10   
10494 9671  236.10 
1805  19309 230.70 
28157 23076 183.90 
27118 492   265.80 
