30000 30000
4912  17417 125.70 
29590 29457 210.30 
29449 1339  295.80 
6152  11681 51.30  
5693  29694 117.30 
14565 20195 125.10 
11458 9122  56.10  
24323 24833 59.40  
1519  28593 103.80 
17339 4905  221.10 
9043  16168 151.50 
26462 15757 288.30 
11515 21557 195.30 
8501  27709 205.20 
12025 9753  113.10 
17416 24318 276.90 
25185 12127 13.20  
23725 6449  262.80 
8275  14320 246.00 
2622  8010  217.50 
20359 23404 73.20  
8217  26217 0.30   
19178 7732  272.70 
14182 22584 185.10 
27218 4608  111.00 
9947  28376 11.70  
12870 23560 49.50  
1266  23636 289.80 
14494 1911  191.10 
26315 10884 299.40 
19392 7594  120.30 
28636 15810 185.10 
29989 11340 210.00 
22899 25521 85.20  
19868 29090 72.90  
26590 9036  291.00 
3981  21905 264.60 
23499 29522 155.10 
25817 14015 128.10 
12454 10329 93.00  
19804 6072  76.80  
20557 4708  19.50  
11174 11048 121.20 
22227 3946  82.80  
25863 166   109.50 
4106  3107  225.60 
23429 7088  196.80 
6311  586   158.70 
12828 26402 163.20 
27608 15207 67.20  
23270 5010  88.80  
26526 25566 106.50 
15592 13091 120.60 
22348 11669 210.00 
977   7531  259.50 
2342  17989 291.30 
25447 11417 123.00 
10455 17727 298.50 
24985 554   224.40 
23529 4513  91.80  
8753  27783 94.50  
6401  24308 69.60  
8756  9899  202.50 
22159 8599  102.90 
15859 9575  67.80  
9724  18268 64.20  
13047 13714 294.60 
23458 24169 212.40 
10805 19153 183.90 
906   19033 37.80  
6212  4137  78.00  
16528 10538 170.10 
5112  19293 245.40 
13139 11451 124.80 
2835  3661  102.60 
61    19736 182.70 
21627 2783  96.90  
24609 2592  252.90 
21669 13396 104.10 
25634 20653 113.70 
4112  26865 154.50 
10372 19744 15.60  
10940 24855 209.10 
4110  14346 44.10  
5878  17180 48.00  
17220 23592 268.50 
16829 15218 203.10 
6504  9826  186.00 
26699 7846  110.40 
6046  3479  6.00   
4425  7591  265.20 
13293 17962 188.10 
26345 5253  250.20 
5042  15714 159.30 
1542  21591 213.00 
1702  8810  90.30  
27949 1991  261.00 
26979 14846 14.10  
28599 11545 267.60 
19967 17590 111.00 
1988  22015 93.60  
17224 5307  187.80 
22204 8003  69.00  
22038 19397 283.20 
12569 27290 160.20 
26631 5343  208.80 
4284  3291  205.80 
27154 269   159.30 
6201  5220  128.10 
29445 25186 5.10   
26167 3525  114.90 
480   20749 12.30  
5458  12952 118.50 
15688 11341 237.30 
11632 261   129.60 
5519  3243  232.20 
8215  7526  125.10 
19253 11031 11.10  
15136 23583 76.80  
22564 23027 238.20 
23933 19193 95.40  
17316 26024 125.40 
22357 7833  110.70 
11752 23521 18.30  
26896 11504 201.90 
15680 23374 274.50 
9807  7940  237.60 
7224  27192 246.60 
17613 18680 226.80 
26870 17595 234.60 
14016 11527 98.10  
28334 28842 210.60 
9753  27550 160.50 
10474 15653 122.10 
28888 18900 78.60  
17561 4580  190.80 
9477  14386 172.50 
21621 27961 230.10 
14796 21925 239.40 
1552  25146 117.60 
17687 9161  275.40 
23014 7495  33.30  
7068  23599 198.00 
28955 4072  199.20 
14362 2959  274.80 
17625 26872 148.50 
14261 6348  69.60  
25188 4320  163.20 
3307  19115 140.40 
105   20667 184.20 
